statCd,statCdCntnKor1,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AE,아랍에미리트 연합,0.2970633887496465,0.5149075711161627,0.8852308077569886,0.8426571765960524,1.0,1.2920107249023685,3.0707059913086843,4.669419132552281,3.848955466181369,5.2642140576528265
AR,아르헨티나,0.8033585928286453,0.8592013148320077,1.1334278473389707,0.7147768047574837,1.0,0.44093920156575417,0.977887486512935,1.2808132386520463,1.3149261034301056,1.6354352244498531
AS,아메리칸 사모아,0.9154543164024225,0.8938979666109872,0.7235421468631312,0.9364507610044699,1.0,1.0504194623043832,1.0780927762898815,1.3317391588357705,1.350449323914484,1.4007148122917852
AT,오스트리아,0.023609491396339576,0.4990123045433991,0.5468262845990909,0.6400504557679034,1.0,1.9747483161577457,2.23583311516767,2.8558916628983506,3.567627388914011,2.8507746864364423
AU,호주,0.4987424773927332,0.6194574906608898,0.765628919083601,0.914836879912528,1.0,1.1161502924134512,1.019058030821422,1.2668935987203231,1.6167776711091215,1.9644045140035413
BE,벨기에,1.0443276367574421,0.7924826329274413,0.21384611320954067,0.2791146094719882,1.0,0.3679970416545603,1.105565387358356,1.9092210570802186,0.38587918328534826,0.43084603396814497
BH,바레인,0.2385423792052733,0.2472980536036316,0.39205273303899013,1.141670294135937,1.0,1.2463652757913064,1.2366768235806231,2.3517567315465455,2.0021889185995896,2.9846153846153847
BN,브루나이,0.1336322565304528,0.6327456775026326,0.8371887632052719,1.0008492136281804,1.0,1.2139338972111824,1.1803050375352424,1.7344610890315568,1.0976052175685316,1.8758313801419886
BR,브라질,1.053647913932594,0.9777404421626454,0.8626786461112473,1.094792402763156,1.0,1.368973623108983,1.450231464789951,1.7236122928714612,1.8737255015070449,2.331773409671046
CA,캐나다,0.5539787004734857,0.7640733868951359,1.0084824668618986,0.8825267406602187,1.0,1.3943767618896363,1.3090066027602179,1.7532297509451293,2.0595332246644698,2.264259569066074
CH,스위스,0.19510908137130867,0.3207948899929028,0.5620544943993582,0.746011664146635,1.0,1.14194464158978,1.479748202548832,1.7848366093745178,1.9510846422069306,2.408158731138334
CL,칠레,0.7101420129327681,0.4641022864391572,0.6789007147056093,0.9246387797407258,1.0,1.3723121190557224,1.4893722347699638,1.1371476748862968,1.4870362921939297,2.481598651031837
CN,중국,0.2036760105366052,0.4853326207945682,0.7899672580605206,0.7001626010701515,1.0,1.2332682208424957,1.2122145829526063,1.457190990859254,1.5041434853030573,1.8550990244874694
CZ,체코공화국,0.21427776541286445,0.24235715875488856,0.3221161489300817,0.5289140249912563,1.0,1.168086865282503,1.8009483005309848,1.2008560936059267,1.7337445550220978,3.4091841276906933
DE,독일,0.32292377393057564,0.45053698452908497,0.625762862721304,0.943123198345488,1.0,1.6320829664116119,2.117516862659921,1.726385783662166,2.8237754651544376,3.899763084645005
DO,도미니카 공화국,0.8885418041562174,0.7478551630076115,0.7152463079472626,0.8016630736064059,1.0,1.513499640693974,1.8528018537257835,2.535329314972062,1.7125258480355492,1.4239224485605761
ES,스페인,1.173306824791853,0.8289591345945149,0.7567522985162741,1.0689685109781826,1.0,0.6023111049373605,0.9752394016478126,0.7242127744545636,1.4980509276542546,1.8477553111136191
FM,마이크로네시아,0.8396531894187383,0.697319295762187,1.015261435017252,1.2699548792356012,1.0,1.4572768291604,1.6769795629478899,1.6349464743873308,1.3949659382464832,1.695611784481996
FR,프랑스,0.5170709706765555,0.907051195565441,0.771780569507781,1.3941453335749006,1.0,2.27035814923463,2.099908641299529,2.719282082515795,2.197914940038625,1.9104106515764194
